split,month,count,mean_actual,mean_prediction,mean_residual,mae,rmse
test,12.0,1849476,1.295322026346922,1.233983259686298,0.06133876666062368,0.7688510654286927,1.5034019771703273
val,10.0,1858891,2.875859316119127,2.7279752915305786,0.14788402458854868,1.2210597167272876,2.2855580774004336
val,11.0,1794316,2.137447361557273,2.054384130790939,0.08306323076633432,1.032826243096942,1.9712437725850998
