split,is_weekend,count,mean_actual,mean_prediction,mean_residual,mae,rmse
test,0.0,1312958,1.3872058359825676,1.3440615943865706,0.04314424159599759,0.8003034785181792,1.5644376683452166
test,1.0,536518,1.0704654829847275,0.9646013746956751,0.1058641082890522,0.6918812389081551,1.342381462114909
val,0.0,2635288,2.5620372422293123,2.444506809371113,0.11753043285819918,1.1287062548402629,2.144002319135402
val,1.0,1017919,2.386691868409962,2.2744870397535166,0.11220482865644471,1.1283486428587628,2.1186329676184372
