split,demand_bucket,count,mean_actual,mean_prediction,mean_residual,mae,rmse
test,0,1145273,0.0,0.3160639527985397,-0.3160639527985397,0.3160639527985397,0.5900366463345423
test,1-2,419504,1.3167860139593424,1.198415950408294,0.11837006355104845,0.8570654467413948,1.178318734093571
test,3-5,163213,3.7490518524872405,3.0687062946323906,0.6803455578548503,1.690619677122596,2.093381942463016
test,6-10,82806,7.498937275076686,5.780791905500833,1.7181453695758528,2.6741226519786867,3.2545845783464724
test,11-20,32913,13.836052623583386,9.9960300824691,3.8400225411142888,4.660164252349127,5.513722069928821
test,21+,5767,26.882781342118953,18.894793449108686,7.987987893010264,8.61890112398628,10.25177196238651
val,0,1851432,0.0,0.4041472489198226,-0.4041472489198226,0.4041472489198226,0.7137272764709326
val,1-2,876864,1.3440065962338514,1.3528012418567923,-0.00879464562294101,0.8811222354169419,1.2567322320935805
val,3-5,415733,3.7828221478689446,3.3665557371853505,0.41626641068359577,1.7755880237930033,2.250228852283962
val,6-10,269807,7.645124107232207,6.760031613781214,0.8850924934509944,2.6554634992543127,3.3055574688213576
val,11-20,176858,14.32518743850999,12.033953819924838,2.291233618585151,3.9267381488842688,4.853951329429379
val,21+,62513,29.334346455937165,23.53040176571578,5.803944690221384,7.247289717701109,9.06296727784168
